keyword,translated_keyword,0: All Prices,1: 0 to 5000 yen,"2: 5000 to 10,000 yen","3: 10,000 to 15,000 yen","4: 15,000 to 20,000 yen","5: 20,000 to 100,000 yen","6: 100,000 to 200,000 yen"
大 氛围,Great atmosphere,2,0,0,0,2,0,0
大 水,Big water,17,0,0,0,3,14,0
大 水压,Large water pressure,7,0,0,0,0,6,0
大 水流,Big water flow,3,0,0,0,0,3,0
大 水量,Large amount of water,3,0,0,2,0,0,0
大 江,Big river,3,0,0,0,0,3,0
大 江户,Great Edo,111,0,0,0,3,104,4
大 池,Big pool,4,0,0,0,2,2,0
大 池子,Big pond,3,0,0,0,0,2,0
大 汤,Big soup,2,0,0,0,0,2,0
大 沙发,Big sofa,12,0,0,0,0,10,0
大 沙滩,Big beach,5,0,0,0,0,5,0
大 河,Big river,2,0,0,0,0,2,0
大 泳池,Big swimming pool,3,0,0,0,0,3,0
大 洗,Big wash,2,0,0,0,0,0,0
大 洗手间,Big toilet,13,0,0,0,0,11,2
大 流量,Large Flow,3,0,0,0,0,3,0
大 浴,Big bath,2,0,0,0,0,0,0
大 浴场,Large bath,90,0,2,0,3,85,0
大 浴室,Big bathroom,48,0,0,0,6,36,5
大 浴池,Big bath,8,0,0,0,0,7,0
大 浴缸,Big bathtub,26,0,0,0,2,20,4
大 海,Big sea,3,0,0,0,0,3,0
大 海景,Large sea view,2,0,0,0,0,2,0
大 海边,Big seaside,2,0,0,0,0,2,0
大 清早,Early morning,2,0,0,0,0,2,0
大 温泉,Big hot spring,10,0,0,0,0,10,0
大 游乐场,Big playground,2,0,0,0,0,2,0
大 满足,Big satisfaction,2,0,0,0,0,2,0
大 澡堂,Big bathhouse,8,0,0,0,0,7,0
大 灰,Big gray,2,0,0,0,0,2,0
大 灰尘,Big dust,2,0,0,0,0,0,0
大 点,bigger,34,0,2,2,11,19,0
大 烟味,Big smoke,39,0,2,2,12,23,0
大 热,Big hot,4,0,0,0,0,4,0
大 热水,Big hot water,2,0,0,0,0,2,0
大 爆发,Big burst,2,0,0,0,0,0,0
大 爱,Big Love,29,0,0,0,2,22,5
大 片,Blockbuster,21,0,0,0,2,19,0
大 版,Large version,2,0,0,0,0,2,0
大 牌子,Big brand,9,0,0,0,2,7,0
大 特点,Big features,4,0,0,0,3,0,0
大 特色,Features,10,0,0,0,0,8,0
大 环境,Large environment,7,0,0,0,0,7,0
大 玻璃,Large glass,3,0,0,0,0,3,0
大 玻璃窗,Large glass windows,3,0,0,0,0,2,0
大 瓶,Big bottle,5,0,0,0,0,5,0
大 用品,Big supplies,2,0,0,0,0,2,0
大 用途,Big purpose,2,0,0,0,0,2,0
大 电梯,Big elevator,2,0,0,0,0,2,0
大 电视,Big tv,9,0,0,0,3,4,0
大 百货,Big department store,10,0,0,0,0,9,0
大 百货店,Big department store,11,0,0,0,3,7,0
大 盒子,Big box,2,0,0,0,0,2,0
大 社,Big club,35,0,0,26,2,7,0
大 福音,Great gospel,2,0,0,0,0,2,0
大 秋叶原,Great Akihabara,2,0,0,0,2,0,0
大 空调,Large air conditioning,2,0,0,0,0,0,0
大 空间,big space,214,0,3,16,33,154,8
大 窗,Big window,17,0,0,0,0,16,0
大 窗户,Big windows,19,0,0,0,4,13,0
大 站,Big station,60,0,0,0,7,52,0
大 站点,Big site,2,0,0,0,0,0,0
大 箱,big box,10,0,0,0,0,9,0
大 箱子,big box,110,0,0,4,18,86,2
大 纸,Large paper,2,0,0,0,0,2,0
大 线,Big line,3,0,0,0,0,3,0
大 缺点,Big disadvantage,17,0,0,0,0,16,0
大 美食,Great gourmet,2,0,0,0,0,2,0
大 胃口,Big appetite,2,0,0,0,0,0,0
大 花园,Big garden,3,0,0,0,0,2,0
大 范围,A wide range of,3,0,0,0,0,3,0
大 药,Big medicine,4,0,0,0,0,4,0
大 药妆,Big cosmeceutical,5,0,0,0,0,4,0
大 药妆店,Big drugstore,4,0,0,0,2,2,0
大 药店,Big pharmacy,2,0,0,0,0,0,0
大 落差,Big drop,6,0,0,0,0,6,0
大 螃蟹,Big crab,7,0,0,0,4,3,0
大 蟑螂,Big cockroach,3,0,0,0,0,2,0
大 行,Daxing,3,0,0,0,0,3,0
大 行李,Big luggage,30,0,0,0,7,22,0
大 行李箱,Large suitcase,39,0,0,4,9,26,0
大 街,Big street,3,0,0,0,0,0,0
大 衣帽间,Large cloakroom,6,0,0,0,0,0,6
大 被子,Big quilt,3,0,0,0,0,2,0
大 装修,Large decoration,2,0,0,0,0,2,0
大 规模,Large scale,18,0,0,2,4,11,0
大 设备,Big equipment,3,0,0,0,0,3,0
大 设施,Big facilities,23,0,0,0,0,21,2
大 话,Big words,3,0,0,0,2,0,0
大 谷,Otani,5,0,0,0,0,5,0
大 败笔,Big failure,2,0,0,0,0,2,0
大 超市,big supermarket,232,0,5,6,73,148,0
大 路,Road,7,0,0,2,0,4,0
大 路口,Big intersection,3,0,0,0,0,3,0
大 车站,Big station,6,0,0,0,0,6,0
大 选择性,Large selectivity,2,0,0,0,0,0,0
大 通,Chase,4,0,0,0,0,4,0
大 通路,Large access,2,0,0,0,2,0,0
大 通道,Large channel,7,0,0,0,0,7,0
大 遗憾,Big regret,2,0,0,0,0,2,0
大 部分,Most part,15,0,0,0,0,14,0
大 部队,Large forces,2,0,0,0,0,2,0
大 都会,Metropolis,13,0,0,0,0,13,0
大 都市,Metropolis,3,0,0,0,0,3,0
大 酒店,big hotel,379,0,0,9,49,312,8
大 里面,Big inside,5,0,0,0,0,5,0
大 量,Large amount,7,0,0,0,2,4,0
大 门口,main entrance,6,0,0,0,0,6,0
大 门脸,Big door face,3,0,0,0,0,2,0
大 门面,Large facade,10,0,0,0,4,5,0
大 问题,Big problem,37,0,0,0,10,26,0
大 阳台,Large balcony,19,0,0,0,0,18,0
大 附近,Large nearby,2,0,0,0,0,2,0
大 雨,Heavy rain,4,0,0,0,2,2,0
大 雪,Heavy snow,15,0,0,0,0,15,0
大 面积,large area,228,0,0,15,19,175,19
大 风,Strong wind,18,0,0,0,0,18,0
大 风雪,Heavy snow,7,0,0,0,0,7,0
大 食,Big food,3,0,0,0,0,3,0
大 食堂,Big canteen,5,0,0,0,3,2,0
大 餐厅,Big restaurant,8,0,0,0,0,7,0
大 饭店,restaurant,11,0,0,0,0,10,0
大 馆,Large hall,2,0,0,0,0,2,0
大 马,Malaysia,6,0,0,0,0,4,0
大 马路,Big road,20,0,0,0,0,19,0
大 鸟,Big bird,2,0,0,0,2,0,0
好吃,good to eat,1099,0,17,57,163,842,20
好吃 三文鱼,Delicious salmon,3,0,0,0,0,2,0
好吃 东西,Delicious stuff,28,0,0,0,5,21,0
好吃 中餐厅,Delicious chinese restaurant,3,0,0,0,0,3,0
好吃 冰棍,Delicious popsicles,8,0,0,0,0,8,0
好吃 冰淇淋,Delicious ice cream,2,0,0,0,0,2,0
好吃 冰激凌,Delicious ice cream,6,0,0,2,0,3,0
好吃 卫生,Delicious and hygienic,2,0,0,0,0,0,0
好吃 吃,Delicious eat,7,0,0,0,0,6,0
好吃 周围,Delicious around,2,0,0,0,0,2,0
好吃 周边,Delicious,8,0,0,0,0,8,0
好吃 味道,Delicious taste,12,0,0,0,0,12,0
好吃 地方,Delicious place,11,0,0,0,0,10,0
好吃 妻,Delicious wife,6,0,0,0,0,6,0
好吃 家,Delicious,3,0,0,0,0,2,0
好吃 寿司,Delicious sushi,2,0,0,0,0,0,0
好吃 寿司店,Delicious sushi restaurant,2,0,0,0,0,0,0
好吃 居酒屋,Delicious izakaya,4,0,0,0,2,0,0
好吃 巧克力,Delicious chocolate,2,0,0,0,0,2,0
好吃 布丁,Delicious pudding,2,0,0,0,0,2,0
好吃 店,Delicious shop,29,0,0,0,7,22,0
好吃 房间,Delicious room,2,0,0,0,0,2,0
好吃 拉面,Delicious ramen,8,0,0,0,2,5,0
好吃 料,Delicious,2,0,0,0,0,2,0
好吃 料理,Delicious food,7,0,0,0,2,4,0
好吃 方便面,Delicious instant noodles,4,0,0,0,0,3,0
好吃 日餐,Delicious Japanese food,2,0,0,0,0,2,0
好吃 早餐,Delicious breakfast,169,0,4,10,24,128,3
好吃 早饭,Delicious breakfast,34,0,0,4,8,21,0
好吃 晚餐,Delicious dinner,5,0,0,0,0,5,0
好吃 服务,Delicious service,2,0,0,0,0,2,0
好吃 材,Delicious,2,0,0,0,0,2,0
好吃 楼下,Delicious downstairs,3,0,0,0,2,0,0
好吃 水果,Delicious fruit,4,0,0,0,0,3,0
好吃 泡芙,Delicious puff,2,0,0,0,0,2,0
好吃 海鲜,Delicious seafood,3,0,0,0,0,3,0
好吃 火腿,Delicious ham,2,0,0,0,0,0,0
好吃 点心,Delicious dim sum,8,0,0,0,0,8,0
好吃 牛,Delicious cow,5,0,0,0,0,4,0
好吃 牛肉,Delicious beef,3,0,0,0,0,2,0
好吃 牛超,Delicious Niu Chao,2,0,0,0,0,2,0
好吃 甜点,Delicious dessert,2,0,0,0,0,2,0
好吃 盖饭,Delicious rice bowl,2,0,0,0,0,0,0
好吃 米,Delicious rice,2,0,0,0,0,2,0
好吃 米饭,Delicious rice,7,0,0,0,0,6,0
好吃 自助餐,Delicious buffet,8,0,0,0,0,7,0
好吃 茶点,Delicious refreshment,2,0,0,0,0,2,0
好吃 菜,Delicious dish,3,0,0,0,0,2,0
好吃 菜品,Delicious dishes,3,0,0,0,0,2,0
好吃 虾,Delicious shrimp,3,0,0,0,0,3,0
好吃 蛋,Delicious egg,3,0,0,0,0,2,0
好吃 蛋糕,Delicious cake,4,0,0,0,0,4,0
好吃 蜜,Delicious honey,3,0,0,0,0,3,0
好吃 西餐,Delicious western food,4,0,0,0,0,3,0
好吃 豆,Delicious beans,2,0,0,0,2,0,0
好吃 豆腐,Delicious tofu,2,0,0,0,2,0,0
好吃 酒店,Delicious hotel,4,0,0,0,0,4,0
好吃 附近,Delicious nearby,3,0,0,0,0,2,0
好吃 雪糕,Delicious ice cream,6,0,0,0,0,6,0
好吃 面,Delicious noodles,4,0,0,0,0,3,0
好吃 面包,Delicious bread,11,0,0,0,3,8,0
好吃 面包房,Delicious bakery,2,0,0,0,0,0,0
好吃 面馆,Delicious noodle shop,5,0,0,0,0,4,0
好吃 食物,Delicious food,11,0,0,0,0,10,0
好吃 餐,Delicious meal,4,0,0,0,0,4,0
好吃 餐厅,Delicious restaurant,17,0,0,2,3,10,2
好吃 餐点,Delicious meal,4,0,0,0,0,4,0
好吃 餐馆,Delicious restaurant,7,0,0,0,0,6,0
好吃 饭,Delicious meal,17,0,0,3,0,14,0
好吃 饭团,Delicious rice ball,9,0,5,2,2,0,0
好吃 饭店,Delicious restaurant,8,0,0,0,2,5,0
好吃 馆,Delicious restaurant,3,0,0,0,0,3,0
好吃 鸟,Delicious bird,2,0,0,0,0,2,0
好吃 😋,Delicious 😋,3,0,0,0,0,3,0
客房,Room,329,0,3,12,32,263,19
干净,clean,6665,0,114,455,1348,4676,72
干净 一如既往,Clean as always,10,0,0,0,2,8,0
干净 五脏俱全,Clean and complete,3,0,0,0,0,3,0
干净 人间,Clean world,2,0,0,0,0,2,0
干净 价格,Clean price,4,0,0,0,0,3,0
干净 位置,Clean location,10,0,0,0,4,6,0
干净 内部,Clean interior,15,0,0,0,3,12,0
干净 前台,Clean front desk,4,0,0,0,0,3,0
干净 卫生,Clean and hygienic,464,0,6,52,92,309,5
干净 卫生间,Clean toilet,37,0,0,0,9,26,0
干净 印象,Clean impression,4,0,0,0,0,3,0
干净 厕所,Clean toilet,11,0,0,0,0,8,0
干净 厕浴,Clean toilet bath,2,0,0,0,0,2,0
干净 周围,Clean around,3,0,0,2,0,0,0
干净 周边,Clean surroundings,2,0,0,0,0,2,0
干净 品,Clean product,2,0,0,0,0,0,0
干净 国家,Clean country,2,0,0,0,0,2,0
干净 地方,Clean place,8,0,0,0,0,7,0
干净 地板,Clean floor,2,0,0,0,0,2,0
干净 地段,Clean location,2,0,0,0,0,0,0
干净 地毯,Clean carpet,4,0,0,0,0,4,0
干净 地铁,Clean subway,2,0,0,0,0,0,0
干净 地铁站,Clean subway station,2,0,0,0,0,0,0
干净 墙壁,Clean the walls,4,0,0,0,3,0,0
干净 客房,Clean rooms,19,0,0,0,4,15,0
干净 室内,Clean indoor,6,0,0,0,0,5,0
干净 宾馆,Clean hotel,7,0,0,0,2,3,0
干净 对面,Clean opposite,6,0,0,0,0,6,0
干净 屋子,Clean house,4,0,0,0,0,3,0
干净 床,Clean bed,6,0,0,0,2,3,0
干净 床单,Clean sheets,6,0,0,0,0,4,0
干净 床褥,Clean mattress,3,0,0,2,0,0,0
干净 床铺,Clean bed,2,0,0,0,0,2,0
干净 态度,Clean attitude,3,0,0,0,0,3,0
干净 性价比,Clean and cost-effective,3,0,0,0,0,2,0
干净 总体,Clean overall,9,0,4,0,0,5,0
干净 感觉,Clean feeling,10,0,0,2,0,6,0
干净 房,Clean room,7,0,0,0,2,5,0
干净 房子,Clean house,7,0,0,0,0,4,0
干净 房屋,Clean house,3,0,0,0,0,2,0
干净 房间,Clean room,1224,0,21,66,234,894,9
干净 打扫,Clean up,55,0,0,9,14,32,0
干净 收拾,Clean up,5,0,0,0,0,4,0
干净 整体,Clean overall,10,0,0,0,0,9,0
干净 整理,Clean up,2,0,0,0,0,2,0
干净 方,Clean party,2,0,0,0,0,2,0
干净 方面,Clean aspect,2,0,0,0,0,2,0
干净 旁边,Clean next to,2,0,0,0,0,0,0
干净 早餐,Clean breakfast,14,0,0,0,4,9,0
干净 有,Clean yes,2,0,0,0,0,2,0
干净 服务,Clean service,23,0,0,2,4,17,0
干净 服务员,Clean waiter,12,0,0,3,7,2,0
干净 枕头,Clean pillow,2,0,0,0,2,0,0
干净 档,Clean file,2,0,0,0,0,2,0
干净 楼下,Clean downstairs,2,0,0,0,0,0,0
干净 毛巾,Clean towel,4,0,0,0,2,2,0
干净 气,Clean gas,4,0,0,0,0,4,0
干净 水,Clean water,6,0,0,0,2,4,0
干净 水准,Clean standard,2,0,0,0,0,2,0
干净 沙滩,Clean beach,5,0,0,0,0,5,0
干净 洗,Clean wash,2,0,0,0,0,2,0
干净 洗手间,Clean toilet,6,0,0,0,0,3,0
干净 洗浴,Clean bath,2,0,0,0,0,0,0
干净 洗澡间,Clean bathroom,2,0,0,2,0,0,0
干净 浴,Clean bath,2,0,0,0,0,2,0
干净 浴场,Clean bath,4,0,0,0,0,3,0
干净 浴室,Clean bathroom,6,0,0,0,2,4,0
干净 浴巾,Clean bath towel,2,0,0,0,0,0,0
干净 浴缸,Clean bathtub,9,0,0,0,5,4,0
干净 海水,Clean sea water,3,0,0,0,0,3,0
干净 海滩,Clean beach,2,0,0,0,0,2,0
干净 淋浴,Clean shower,3,0,0,2,0,0,0
干净 温泉,Clean hot spring,6,0,0,0,0,5,0
干净 游泳池,Clean swimming pool,3,0,0,0,0,3,0
干净 澡堂,Clean bathhouse,2,0,0,0,0,0,0
干净 照片,Clean photos,2,0,0,0,0,2,0
干净 物品,Clean items,2,0,0,0,0,2,0
干净 特色,Clean features,3,0,0,0,0,2,0
干净 环境,Clean environment,61,0,0,3,10,48,0
干净 现代,Clean modern,3,0,0,0,0,3,0
干净 用品,Clean supplies,6,0,0,0,2,4,0
干净 白布,Clean white cloth,2,0,0,0,0,2,0
干净 睡衣,Clean pajamas,2,0,0,0,0,0,0
干净 程度,Cleanliness,8,0,0,0,0,7,0
干净 空间,Clean space,5,0,0,0,0,4,0
干净 简介,Clean introduction,4,0,0,3,0,0,0
干净 细节,Clean details,4,0,0,0,0,2,0
干净 街道,Clean street,4,0,0,0,0,3,0
干净 被子,Clean quilt,7,0,0,0,2,4,0
干净 被褥,Clean bedding,3,0,0,0,0,3,0
干净 装修,Clean decoration,3,0,0,0,0,2,0
干净 设备,Clean equipment,6,0,0,0,0,5,0
干净 设施,Clean facilities,55,0,0,5,19,31,0
干净 选择,Clean choice,2,0,0,0,0,0,0
干净 酒店,Clean hotel,737,0,10,48,161,510,8
干净 里面,Clean inside,10,0,0,0,2,8,0
干净 风格,Clean style,2,0,0,0,0,2,0
干净 饭店,Clean restaurant,3,0,0,0,0,2,0
干净 麻雀,Clean sparrow,8,0,0,0,5,2,0
庭院,patio,37,0,0,0,0,32,4
快捷 便利,Fast and convenient,2,0,0,0,0,2,0
总体,overall,1163,0,14,69,177,880,23
意外 好吃,Unexpectedly delicious,3,0,0,0,0,3,0
推荐,recommend,3281,0,25,110,415,2622,109
新,new,2775,0,16,37,234,2411,77
新 ....,New...,3,0,0,0,0,3,0
新 中心,New center,2,0,0,0,0,2,0
新 主楼,New main building,2,0,0,0,0,2,0
新 价,New price,2,0,0,0,0,2,0
新 位置,New location,3,0,0,0,0,0,2
新 体验,New Experience,3,0,0,0,0,3,0
新 区,New District,2,0,0,0,0,2,0
新 去,New go,2,0,0,0,0,2,0
新 地方,New place,2,0,0,0,0,2,0
新 地铁,New subway,4,0,0,0,0,4,0
新 坂,Shin Saka,2,0,0,0,0,2,0
新 大堂,New lobby,3,0,0,0,0,3,0
新 宿ビ,Shinjuku ビ,2,0,0,0,0,2,0
新 宿区,Shinjuku,4,0,0,0,0,4,0
新 宿站,Shinjuku Station,3,0,0,0,0,3,0
新 宿西,Shinjuku West,7,0,0,0,0,6,0
新 年,new Year,2,0,0,0,2,0,0
新 床,New bed,2,0,0,0,0,0,0
新 床单,New sheets,2,0,0,0,0,2,0
新 店,New shop,3,0,0,0,0,3,0
新 心,New heart,2,0,0,0,0,2,0
新 感觉,New feeling,7,0,0,0,0,7,0
新 房,New room,9,0,0,0,0,9,0
新 房间,New room,53,0,0,0,10,41,0
新 斋,New,32,0,0,0,2,30,0
新 旧,New old,2,0,0,0,0,2,0
新 早餐,New breakfast,2,0,0,0,0,2,0
新 服务,New service,3,0,0,0,0,3,0
新 木场,New Kiba,2,0,0,0,2,0,0
新 机场,New airport,7,0,0,0,0,4,0
新 板,New board,2,0,0,0,0,2,0
新 楼,New building,21,0,0,0,0,20,0
新 毛巾,New towel,6,0,0,0,0,5,0
新 王子,New prince,7,0,0,0,0,7,0
新 用品,New supplies,3,0,0,0,0,0,0
新 硬件,New hardware,4,0,0,0,0,4,0
新 装,New outfit,18,0,0,0,4,14,0
新 装修,New decoration,116,0,0,2,15,96,3
新 视野,New vision,2,0,0,0,0,2,0
新 设备,new device,24,0,0,0,5,17,0
新 设施,New facility,363,0,0,9,47,293,13
新 谷,New Valley,5,0,0,0,0,5,0
新 轮,New round,3,0,0,0,0,3,0
新 酒店,New hotel,246,0,0,2,25,199,19
新 阪急,New Hankyu,12,0,0,0,0,11,0
新 馆,New building,11,0,0,0,0,11,0
新 高楼,New high-rise,2,0,0,0,0,2,0
日式,Japanese-style,966,0,4,44,58,830,30
日式 东西,Japanese style,3,0,0,0,0,3,0
日式 之一,Japanese style one,4,0,0,0,0,4,0
日式 人,People,3,0,0,0,0,3,0
日式 吃,Eating,5,0,0,0,0,5,0
日式 味道,Japanese taste,3,0,0,0,0,3,0
日式 品种,Japanese style,3,0,0,0,0,3,0
日式 套餐,Japanese set meal,8,0,0,0,0,6,0
日式 店,Japanese shop,3,0,0,0,0,3,0
日式 庭院,Japanese style courtyard,9,0,0,0,0,9,0
日式 怀石料理,Japanese kaiseki cuisine,2,0,0,0,0,2,0
日式 态度,Japanese attitude,2,0,0,0,0,0,0
日式 房,Japanese style room,20,0,0,0,0,19,0
日式 房间,Japanese style room,25,0,0,0,0,23,0
日式 按摩,Japanese massage,2,0,0,0,0,2,0
日式 料理,Japanese cuisine,18,0,0,0,4,14,0
日式 旅馆,Ryokan,6,0,0,0,0,6,0
日式 早餐,Japanese breakfast,163,0,0,10,11,132,9
日式 早饭,Japanese breakfast,3,0,0,0,0,3,0
日式 服务,Japanese service,30,0,0,3,2,18,7
日式 标准,Japanese standard,2,0,0,0,0,2,0
日式 榻榻米,Japanese style tatami,8,0,0,0,0,8,0
日式 欧式,Japanese style,2,0,0,0,0,2,0
日式 浴,Japanese bath,2,0,0,0,0,2,0
日式 浴场,Japanese style bath,4,0,0,0,0,3,0
日式 浴室,Japanese style bathroom,2,0,0,0,0,2,0
日式 浴衣,Japanese Yukata,2,0,0,0,0,0,0
日式 温泉,Japanese hot spring,2,0,0,0,0,2,0
日式 澡堂,Japanese style bathhouse,2,0,0,0,0,0,0
日式 火锅,Japanese hot pot,3,0,0,0,0,3,0
日式 种类,Japanese style,2,0,0,0,0,2,0
日式 结合,Japanese style,2,0,0,0,0,2,0
日式 自助餐,Japanese buffet,4,0,0,0,0,4,0
日式 花园,Japanese garden,9,0,0,0,0,9,0
日式 英文,Japanese English,2,0,0,0,0,0,0
日式 英语,Japanese English,3,0,0,0,0,2,0
日式 街,Japanese street,2,0,0,0,0,2,0
日式 西式,Japanese Western,13,0,0,0,3,10,0
日式 选择,Japanese style,13,0,0,0,0,13,0
日式 酒店,Japanese hotel,54,0,0,7,3,44,0
日式 风味,Japanese style,2,0,0,0,0,0,0
日式 风格,Japanese style,31,0,0,0,2,26,3
日式 食物,Japanese food,2,0,0,0,0,2,0
日式 餐厅,Japanese restaurant,38,0,0,0,4,34,0
日式 餐馆,Japanese restaurant,6,0,0,0,2,4,0
日式 饭店,Japanese restaurant,4,0,0,0,0,2,0
早餐,breakfast,5605,0,112,270,777,4275,171
时候,time,924,0,8,38,134,716,28
是否,whether,63,0,0,2,5,53,3
景色,view,688,0,0,6,22,600,59
棒,Great,3028,0,11,73,241,2514,189
棒 下面,Great below,2,0,0,0,0,2,0
棒 业,Great industry,2,0,0,0,0,2,0
棒 中文,Great in Chinese,3,0,0,0,0,2,0
棒 主要,Great main,2,0,0,0,0,2,0
棒 交通,Great traffic,2,0,0,0,0,2,0
棒 人,Great man,3,0,0,0,0,3,0
棒 人员,Staff,2,0,0,0,0,2,0
棒 价位,Great price,2,0,0,0,0,2,0
棒 价格,Great price,3,0,0,0,0,2,0
棒 位置,Great position,218,0,2,6,33,175,2
棒 体验,Great experience,51,0,0,0,2,38,10
棒 便利,Great convenience,2,0,0,0,0,2,0
棒 出行,Great trip,4,0,0,0,0,4,0
棒 卫生,Great hygiene,11,0,0,0,0,10,0
棒 卫生间,Great toilet,4,0,0,0,0,3,0
棒 口味,Great taste,2,0,0,0,0,2,0
棒 周边,Great surroundings,2,0,0,0,0,0,0
棒 味道,Great taste,20,0,0,0,6,12,0
棒 咖啡,Great coffee,5,0,0,0,0,4,0
棒 商场,Great mall,4,0,0,0,0,4,0
棒 地方,Great place,3,0,0,0,0,0,0
棒 地段,Great location,8,0,0,0,2,6,0
棒 地点,Great location,17,0,0,0,0,15,0
棒 夜景,Night view,25,0,0,0,0,23,2
棒 大堂,Great lobby,2,0,0,0,0,0,0
棒 字,Great letter;,2,0,0,0,0,0,0
棒 家,Great home,2,0,0,0,0,0,0
棒 巴士,Great bus,3,0,0,0,0,3,0
棒 店,Great shop,6,0,0,0,3,3,0
棒 态度,Great attitude,25,0,0,0,0,20,3
棒 总体,Great overall,3,0,0,0,0,3,0
棒 感觉,Great feeling,20,0,0,0,0,15,3
棒 房,Great room,3,0,0,0,0,2,0
棒 房间,Great room,59,0,0,3,6,43,7
棒 拉面,Great ramen,4,0,0,0,0,3,0
棒 效果,Great effect,2,0,0,0,0,2,0
棒 整体,Great overall,5,0,0,0,0,5,0
棒 料理,Great cuisine,2,0,0,0,0,2,0
棒 方面,Great aspect,12,0,0,0,3,9,0
棒 旅行,Great travel,2,0,0,0,0,2,0
棒 日航,Great Nikko,2,0,0,0,0,2,0
棒 早餐,Great breakfast,164,0,0,2,8,146,8
棒 早饭,Great breakfast,6,0,0,0,0,5,0
棒 晚餐,Great dinner,12,0,0,0,0,12,0
棒 景,Great view,4,0,0,0,0,4,0
棒 景色,Great scenery,37,0,0,0,0,33,4
棒 景观,Great landscape,23,0,0,0,0,22,0
棒 服务,Great service,168,0,0,2,22,133,10
棒 服务员,Great waiter,2,0,0,0,0,0,0
棒 服务生,Great waiter,2,0,0,0,0,0,0
棒 条件,Great condition,2,0,0,0,0,2,0
棒 棒,Great Great,40,0,0,0,7,30,2
棒 楼下,Great downstairs,3,0,0,0,0,2,0
棒 水平,Great level,8,0,0,3,0,3,0
棒 水果,Great fruit,2,0,0,0,0,2,0
棒 沙滩,Great beach,2,0,0,0,0,2,0
棒 泳池,Great pool,6,0,0,0,0,6,0
棒 洗衣机,Great washing machine,2,0,0,0,0,2,0
棒 浴场,Great bath,7,0,0,0,0,7,0
棒 浴室,Great bathroom,3,0,0,0,0,3,0
棒 海景,Great sea view,7,0,0,0,0,7,0
棒 海滩,Great beach,2,0,0,0,0,2,0
棒 温泉,Great hot spring,56,0,0,3,2,51,0
棒 游泳池,Great swimming pool,2,0,0,0,0,2,0
棒 灰,Great ash,2,0,0,0,0,2,0
棒 爷湖,Great lake,3,0,0,0,0,3,0
棒 牛,Great cow,2,0,0,0,0,2,0
棒 牛肉,Great beef,6,0,0,0,0,4,2
棒 环境,Great environment,52,0,0,0,6,39,6
棒 班车,Great shuttle,4,0,0,0,0,4,0
棒 球场,Baseball field,2,0,0,0,0,0,2
棒 用品,Great supplies,4,0,0,0,0,4,0
棒 真,Awesome really,11,0,0,0,0,7,3
棒 硬件,Great hardware,3,0,0,0,0,2,0
棒 管理,Great management,2,0,0,0,0,2,0
棒 细节,Great details,2,0,0,0,0,2,0
棒 美景,Great views,2,0,0,0,0,2,0
棒 美食,Great gourmet,2,0,0,0,0,2,0
棒 自助餐,Great buffet,12,0,0,0,2,10,0
棒 花园,Great garden,2,0,0,0,0,2,0
棒 英文,Great English,6,0,0,0,0,4,0
棒 英语,Great English,12,0,0,0,0,9,2
棒 茶,Great tea,2,0,0,0,0,0,0
棒 菜品,Great dishes,2,0,0,0,0,2,0
棒 虾,Great shrimp,2,0,0,0,0,2,0
棒 街,Great street,2,0,0,0,0,2,0
棒 装修,Great decoration,2,0,0,0,0,0,0
棒 视野,Great,4,0,0,0,0,4,0
棒 设备,Great equipment,2,0,0,0,0,2,0
棒 设施,Great facilities,67,0,0,0,7,57,3
棒 设计,Great design,8,0,0,0,0,7,0
棒 超市,Great supermarket,2,0,0,0,0,0,0
棒 软件,Great software,2,0,0,0,0,2,0
棒 酒店,Great hotel,463,0,0,2,25,400,36
棒 隔音,Soundproof,2,0,0,0,0,0,0
棒 风景,Great scenery,27,0,0,0,0,25,0
棒 风格,Great style,3,0,0,0,0,3,0
棒 食物,Great food,5,0,0,0,0,4,0
棒 餐厅,Great restaurant,14,0,0,2,0,10,2
棒 餐食,Good meal,4,0,0,0,0,4,0
棒 餐饮,Great food,6,0,0,0,0,6,0
棒 餐馆,Great restaurant,2,0,0,0,0,0,0
棒 馆,Great hall,2,0,0,0,0,2,0
棒 鸡,Great chicken,2,0,0,0,0,0,0
欣赏,enjoy,104,0,0,0,0,96,7
没有 一流,Not first class,2,0,0,0,0,2,0
没有 人员,No personnel,3,0,0,0,0,2,0
没有 便利,No convenience,6,0,0,0,0,5,0
没有 出行,No travel,4,0,0,0,0,2,0
没有 卫生,No hygiene,6,0,0,0,3,3,0
没有 吃,did not eat,26,0,0,0,0,23,0
没有 周边,No surroundings,33,0,0,2,7,24,0
没有 地方,No place,56,0,0,6,7,42,0
没有 地铁站,No subway station,2,0,0,0,0,0,0
没有 坐,Not sitting,7,0,0,0,0,7,0
没有 大,No big,63,0,0,0,9,53,0
没有 好吃,No delicious,8,0,0,0,0,7,0
没有 干净,No clean,37,0,3,0,9,25,0
没有 推荐,Not recommended,3,0,0,0,0,3,0
没有 新,No new,5,0,0,0,2,2,0
没有 早餐,No breakfast,44,0,0,0,6,36,0
没有 时候,No time,6,0,0,0,0,6,0
没有 棒,No stick,9,0,0,0,0,9,0
没有 漂亮,Not beautiful,3,0,0,0,0,2,0
