RID,HotelID,HotelName,EnglishHotelName,HotelScore,LocationScore,ServicesScore,FacilitiesScore,HealthScore,HotelPrice
1600,704562,"三重县津多米酒店
Hotel Dormy Inn Tsu",Hotel Dormy Inn Tsu,4.7,4.7,4.6,4.7,4.7,5647.0
1601,704563,"岐阜大和ROYNET酒店
Daiwa Roynet Hotel Gifu",Daiwa Roynet Hotel Gifu,4.5,4.6,4.4,4.5,4.5,6232.0
1602,704565,"日章馆酒店
Nisshokan Hotel",Nisshokan Hotel,,,,,,8559.0
1603,704567,"伊势户田家龙安酒店
Ise Todaya Ryoan",Ise Todaya Ryoan,,,,,,63768.0
1604,704568,"飞弹高山公园城市酒店
Hida Takayama Park City Hotel",Hida Takayama Park City Hotel,4.0,4.1,4.0,4.1,4.1,10220.0
1605,704570,"瑞穗馆酒店
Mizuhokan",Mizuhokan,,,,,,
1606,704571,"下吕汤之岛馆酒店
Yunoshimakan Gero City Gifu",Yunoshimakan Gero City Gifu,4.8,4.8,4.6,4.8,4.7,23207.0
1607,704573,"星出馆家庭旅馆
Hoshidekan",Hoshidekan,4.4,4.4,4.4,4.4,4.4,10292.0
1608,704574,"伊东高原度假酒店
Hotel Village Izukogen",Hotel Village Izukogen,4.4,4.5,4.5,4.4,4.5,12932.0
1609,704575,"伊势城市附楼酒店
Ise City Hotel Annex",Ise City Hotel Annex,3.9,3.9,3.9,3.8,3.9,10226.0
1610,704577,"伊东健康森林酒店
Wellness Forest Ito",Wellness Forest Ito,,,,,,14266.0
1611,704579,"东横姬路站新干线南口旅馆
Toyoko Inn Himeji-Eki Shinkansen Minami-Guchi",Toyoko Inn Himeji-Eki Shinkansen Minami-Guchi,4.3,4.3,4.1,4.3,4.2,
1612,704580,"名古屋温斯顿先生酒店
Sir Winston Hotel Nagoya",Sir Winston Hotel Nagoya,4.0,4.1,4.2,4.7,4.2,11007.0
1613,704582,"静冈县东急下田度假酒店
Shimoda Tokyu Hotel Shizuoka",Shimoda Tokyu Hotel Shizuoka,4.5,4.4,4.3,4.3,4.4,12386.0
1614,704583,"姬路克莱尔日笠酒店
Hotel Claire Higasa Himeji",Hotel Claire Higasa Himeji,,,,,,7727.0
1615,704585,"下田大和旅馆
Shimoda Yamatokan",Shimoda Yamatokan,4.4,4.6,4.4,4.5,4.5,7124.0
1616,704586,"名铁刈谷市酒店
Meitetsu Inn Kariya",Meitetsu Inn Kariya,4.3,4.3,3.9,4.0,4.1,6683.0
1617,704587,"东横神户一号酒店
Toyoko Inn Kobe Sannomiya No.1",Toyoko Inn Kobe Sannomiya No.1,4.3,4.6,4.2,4.6,4.5,8100.0
1618,704589,"神户有马温泉钦山旅馆
Hotel Kinzan Arima Onsen Kobe",Hotel Kinzan Arima Onsen Kobe,4.2,4.4,4.5,4.6,4.4,77638.0
1619,704590,"名古屋米尔帕尔克酒店
Nagoya Hotel Mielparque",Nagoya Hotel Mielparque,4.5,4.3,4.3,4.3,4.3,7377.0
1620,704593,"神户银水庄兆乐
Ginsuisho Choraku Kobe",Ginsuisho Choraku Kobe,4.8,4.9,4.7,4.8,4.8,23575.0
1621,704596,"利索尔名古屋酒店
Hotel Resol Nagoya",Hotel Resol Nagoya,4.7,4.5,4.3,4.6,4.5,16224.0
1622,704598,"名古屋汉米尔顿酒店-黑-
Hamilton Hotel –Black- Nagoya",Hamilton Hotel –Black- Nagoya,4.4,4.6,4.1,4.2,4.3,5360.0
1623,704599,"京都五条大宫东横旅馆
Toyoko Inn Kyoto Gojo-Omiya",Toyoko Inn Kyoto Gojo-Omiya,4.2,4.5,4.3,4.8,4.4,8424.0
1624,704603,"京都四条大宫东横酒店
Toyoko Inn Kyoto Shijo-Omiya",Toyoko Inn Kyoto Shijo-Omiya,4.5,4.1,4.1,4.4,4.3,9180.0
1625,704604,"名铁Inn酒店-名古屋金山
Meitetsu Inn Nagoya Kanayama",Meitetsu Inn Nagoya Kanayama,4.2,3.7,3.8,4.1,4.0,7250.0
1626,704605,"静冈滨松滨名湖皇家酒店
Hamanako Royal Hotel",Hamanako Royal Hotel,4.5,4.6,4.3,4.5,4.5,10231.0
1627,704609,"名古屋京屋旅馆（仅限成人）
Kyoya Ryokan Nagoya(Adult Only)",Kyoya Ryokan Nagoya(Adult Only),4.3,4.7,4.5,4.7,4.5,18163.0
1628,704610,"岛田站前Route-Inn酒店
Hotel Route-Inn Shimada Ekimae",Hotel Route-Inn Shimada Ekimae,4.0,4.1,4.0,4.1,4.0,6077.0
1629,704613,"阿梅吉苏酒店
Amagiso",Amagiso,4.0,4.0,4.5,5.0,4.4,29900.0
1630,704614,"刈谷王牌酒店
Ace Inn Kariya",Ace Inn Kariya,3.6,3.7,3.6,3.5,3.6,5824.0
1631,704615,"伊豆今井滨东急酒店
Izu-Imaihama Tokyu Hotel",Izu-Imaihama Tokyu Hotel,4.7,4.6,4.9,4.8,4.7,11428.0
1632,704617,"Route-Inn滨名湖酒店
Hotel Route-Inn Hamanako",Hotel Route-Inn Hamanako,,,,,,5998.0
1633,704618,"丸荣有机住宿加早餐旅馆
Organic B&B Maruei",Organic B&B Maruei,,,,,,
1634,704619,"富士山沼津站北口1号东横酒店
Toyoko Inn Fujisan Numazu-Eki Kita-Guchi No.1",Toyoko Inn Fujisan Numazu-Eki Kita-Guchi No.1,4.7,4.7,4.3,4.3,4.5,6264.0
1635,704620,"静冈世纪酒店
Hotel Century Shizuoka",Hotel Century Shizuoka,4.7,4.5,4.6,4.7,4.6,7918.0
1636,704621,"富士山沼津站北口2号东横酒店
Toyoko Inn Fujisan Numazu-Eki Kita-Guchi No.2",Toyoko Inn Fujisan Numazu-Eki Kita-Guchi No.2,4.4,4.4,4.4,4.4,4.4,8424.0
1637,704622,"名铁丰田酒店
Meitetsu Toyota Hotel",Meitetsu Toyota Hotel,4.3,4.3,4.1,4.2,4.2,10990.0
1638,704623,"静冈县滨松大仓饭店
Okura Act City Hotel Hamamatsu Shizuoka",Okura Act City Hotel Hamamatsu Shizuoka,4.5,4.4,4.3,4.5,4.4,8320.0
1639,704624,"东横克拉古奇北口旅馆
Toyoko Inn Fujiedaeki Kita-Guchi",Toyoko Inn Fujiedaeki Kita-Guchi,4.7,4.9,4.9,5.0,4.9,
1640,704625,"静冈滨松Concorde酒店
Hotel Concorde Hamamatsu Shizuoka",Hotel Concorde Hamamatsu Shizuoka,4.5,4.5,4.7,4.6,4.6,4727.0
1641,704626,"东横旅馆-挂川站新干线南口
Toyoko Inn Kakegawa-Eki Shinkansen-Minami-Guchi",Toyoko Inn Kakegawa-Eki Shinkansen-Minami-Guchi,,,,,,7020.0
1642,704627,"知立市皇冠酒店
Hotel Crownpalais Chiryu",Hotel Crownpalais Chiryu,4.5,4.0,4.0,5.0,4.4,9522.0
1643,704628,"东横滨松站北口
Toyoko Inn Hamamatsu-Eki Kita-Guchi",Toyoko Inn Hamamatsu-Eki Kita-Guchi,4.3,4.1,4.3,4.3,4.3,8424.0
1644,704629,"滨松酒店
Hamamatsu Hotel",Hamamatsu Hotel,4.2,4.3,4.0,4.1,4.2,14750.0
1645,704630,"新奥卡酒店
New Akao Hotel",New Akao Hotel,4.4,4.3,3.9,4.0,4.2,31723.0
1646,704631,"静冈锁拉图吉兹苏基鲁酒店
Sora Togetsusoukinryu Shizuoka",Sora Togetsusoukinryu Shizuoka,5.0,4.7,4.7,4.7,4.8,
1647,704633,"热海站前东横旅馆
Toyoko Inn Atami Ekimae",Toyoko Inn Atami Ekimae,4.2,3.7,3.8,4.1,3.9,6588.0
1648,704634,"南赞所酒店
Nanzanso",Nanzanso,4.1,4.5,4.1,4.4,4.3,
1649,704635,"新井旅馆
Arai Ryokan",Arai Ryokan,4.8,4.7,4.5,4.6,4.7,31010.0
1650,704636,"青山大和旅馆
Seizan Yamato",Seizan Yamato,4.4,4.5,4.5,4.5,4.4,108018.0
1651,704637,"半田市AZ Inn酒店
AZ Inn Handa Inter",AZ Inn Handa Inter,3.9,3.9,3.9,3.9,3.9,5740.0
1652,704641,"爱知郡三河安城多米快捷酒店
Hotel Dormy Inn Express Mikawaanjo",Hotel Dormy Inn Express Mikawaanjo,4.3,4.4,4.3,4.4,4.4,5655.0
1653,704642,"御前崎鲁特因酒店
Hotel Route-Inn Omaezaki",Hotel Route-Inn Omaezaki,,,,,,5864.0
1654,704643,"稻取东海酒店汤苑
Inatori Tokai Hotel Yuen",Inatori Tokai Hotel Yuen,4.4,4.2,4.0,4.6,4.3,32356.0
1655,704644,"爱知郡伊良湖海洋公园及Spa酒店
Irago Sea-Park & Spa",Irago Sea-Park & Spa,4.0,4.4,4.3,4.3,4.2,8437.0
1656,704645,"田边旅馆
Ryokan Tanabe",Ryokan Tanabe,5.0,5.0,4.8,4.9,4.9,26616.0
1657,704646,"烧津因特驿前酒店
Hotel Route-Inn Yaizu Inter",Hotel Route-Inn Yaizu Inter,,,,,,5942.0
1658,704647,"岐阜东横旅馆
Toyoko Inn Gifu",Toyoko Inn Gifu,3.7,3.9,3.7,4.0,3.8,7668.0
1659,704648,"一富士旅馆
Petit Ryokan Ichifuji",Petit Ryokan Ichifuji,,,,,,16387.0
1660,704649,"如特酒店 - 苏斯诺因特尔酒店
Hotel Route-Inn Susono Inter",Hotel Route-Inn Susono Inter,3.8,3.8,3.8,3.8,3.8,12308.0
1661,704650,"东横岐阜羽岛站新干线南口旅馆
Toyoko Inn Gifu-Hashima-Eki Shinkansen Minami-Guchi",Toyoko Inn Gifu-Hashima-Eki Shinkansen Minami-Guchi,3.6,3.6,3.6,3.6,3.6,11826.0
1662,704651,"富士山三岛站东横酒店
Toyoko Inn Fujisan Mishima-Eki",Toyoko Inn Fujisan Mishima-Eki,4.2,4.2,4.2,4.2,4.2,7344.0
1663,704652,"九宫旅馆
Ryokan Meiryu",Ryokan Meiryu,4.2,4.4,3.9,4.3,4.2,8813.0
1664,704653,"松本布埃纳维斯塔酒店
Buena Vista Matsumoto",Buena Vista Matsumoto,4.3,4.2,4.3,4.4,4.3,9440.0
1665,704654,"路线挂川国米酒店
Hotel Route-Inn Kakegawa Inter",Hotel Route-Inn Kakegawa Inter,,,,,,6162.0
1666,704655,"上田站前东横酒店
Toyoko Inn Ueda Ekimae",Toyoko Inn Ueda Ekimae,4.0,4.0,3.5,4.0,3.9,6264.0
1667,704656,"菊川间路线酒店
Hotel Route-Inn Kikugawa Inter",Hotel Route-Inn Kikugawa Inter,3.7,3.8,3.8,3.9,3.8,6111.0
1668,704657,"上田鲁特茵酒店
Hotel Route-Inn Ueda",Hotel Route-Inn Ueda,,,,,,6111.0
1669,704658,"岩田因特铁路酒店
Hotel Route-Inn Iwata Inter",Hotel Route-Inn Iwata Inter,4.0,4.0,4.0,4.0,4.0,6232.0
1670,704659,"安昙野丰科站南道苑酒店
Hotel Route-Inn Court Azumino Toyoshina Ekiminami",Hotel Route-Inn Court Azumino Toyoshina Ekiminami,,,,,,6766.0
1671,704660,"名古屋永翼国际酒店
Hotel Wing International Nagoya",Hotel Wing International Nagoya,4.2,4.3,4.3,4.4,4.3,13793.0
1672,704661,"长野红屋旅馆
Hotel Beniya Nagano",Hotel Beniya Nagano,4.1,4.2,4.1,4.0,4.1,26287.0
1673,704663,"岛田吉田国际鲁特因酒店
Hotel Route-Inn Shimada Yoshida Inter",Hotel Route-Inn Shimada Yoshida Inter,4.0,4.0,3.9,4.0,4.0,6349.0
1674,704665,"名古屋公寓酒店
Hotel Livemax Nagoya",Hotel Livemax Nagoya,3.5,3.5,3.4,3.6,3.5,
1675,704666,"高地雷美伊斯塔酒店
Kamikochi Lemeiesta Hotel",Kamikochi Lemeiesta Hotel,,,,,,32179.0
1676,704667,"Route-Inn御殿场酒店
Hotel Route-Inn Gotenba",Hotel Route-Inn Gotenba,3.8,4.4,4.0,4.3,4.1,6955.0
1677,704668,"甲府站南口1号东横旅馆
Toyoko Inn Kofu-Eki Minami-Guchi No.1",Toyoko Inn Kofu-Eki Minami-Guchi No.1,,,,,,
1678,704669,"静冈岛田光芒酒店
Candeo Hotels Shimada Shizuoka",Candeo Hotels Shimada Shizuoka,4.5,4.4,4.5,4.6,4.5,10872.0
1679,704671,"第一富士酒店
Daiichi Fuji Hotel",Daiichi Fuji Hotel,4.6,4.0,3.9,4.2,4.2,8890.0
1680,704672,"鲁特哈玛特苏尼斯因特尔酒店
Hotel Route-Inn Hamamatsu Nishi Inter",Hotel Route-Inn Hamamatsu Nishi Inter,3.3,3.4,3.5,3.5,3.4,10923.0
1681,704673,"藤枝驿北路线酒店
Hotel Route-Inn Fujieda-Eki Kita",Hotel Route-Inn Fujieda-Eki Kita,4.3,4.5,4.3,4.4,4.4,14250.0
1682,704674,"名古屋清酒店2号馆
Hotel Kiyoshi Nagoya No.2",Hotel Kiyoshi Nagoya No.2,4.3,4.2,4.1,4.2,4.2,7133.0
1683,704675,"静冈Associa酒店
Hotel Associa Shizuoka",Hotel Associa Shizuoka,4.9,4.8,4.7,4.8,4.8,7585.0
1684,704678,"名古屋多米快捷酒店
Dormy Inn Express Nagoya",Dormy Inn Express Nagoya,4.3,4.7,4.3,4.7,4.5,7741.0
1685,704681,"甲府富士屋酒店
Kofu Fujiya Hotel",Kofu Fujiya Hotel,4.1,3.9,4.0,4.0,4.0,10484.0
1686,704682,"长滨路特因特酒店
Hotel Route-Inn Nagahama Inter",Hotel Route-Inn Nagahama Inter,,,,,,9662.0
1687,704683,"富士急乐园度假酒店＆温泉
Highland Resort Hotel & Spa Yamanashi",Highland Resort Hotel & Spa Yamanashi,4.7,4.7,4.3,4.5,4.6,19715.0
1688,704684,"名古屋生态酒店
Eco Hotel Nagoya",Eco Hotel Nagoya,4.4,4.0,4.0,4.0,4.1,2790.0
1689,704685,"Route-Inn彦根酒店
Hotel Route-Inn Hikone",Hotel Route-Inn Hikone,,,,,,6298.0
1690,704687,"富士河口湖山岸旅馆
Fujikawaguchiko Yamagishi Ryokan",Fujikawaguchiko Yamagishi Ryokan,4.7,4.6,4.4,4.7,4.6,16174.0
1691,704688,"富山站前宝町东横酒店
Toyoko Inn Toyama Ekimae Takara-Machi",Toyoko Inn Toyama Ekimae Takara-Machi,4.3,3.9,4.2,4.6,4.2,
1692,704691,"宇奈月大饭店
Unazuki Grand Hotel",Unazuki Grand Hotel,4.0,4.0,3.5,4.0,3.9,12960.0
1693,704694,"Route-Inn富山站前酒店
Hotel Route-Inn Toyama Ekimae",Hotel Route-Inn Toyama Ekimae,4.1,4.0,3.8,4.0,4.0,5031.0
1694,704698,"宇奈月温泉 延乐旅馆
Ryokan Enraku",Ryokan Enraku,4.5,4.7,4.3,4.4,4.5,48019.0
1695,704699,"京都星野罗特尔德比睿酒店
Hoshino L’Hotel de Hiei Kyoto",Hoshino L’Hotel de Hiei Kyoto,4.4,4.3,4.3,4.3,4.3,39996.0
1696,704700,"秋田多米酒店
Hotel Dormy Inn Akita",Hotel Dormy Inn Akita,4.8,4.6,4.8,4.8,4.8,9089.0
1697,704702,"横滨国际酒店
Yokohama Kokusai Hotel",Yokohama Kokusai Hotel,4.4,4.3,3.8,4.0,4.1,5897.0
1698,704703,"秋田阿尔伯特酒店
Albert Hotel Akita",Albert Hotel Akita,,,,,,9370.0
1699,704704,"横滨皇家花园酒店
Yokohama Royal Park Hotel",Yokohama Royal Park Hotel,5.0,4.9,4.7,4.9,4.9,15505.0
1700,704706,"京都城市酒店
Urban Hotel Kyoto",Urban Hotel Kyoto,4.4,4.6,4.5,4.8,4.6,5031.0
1701,704707,"大馆市驿南旅馆酒店
Hotel Route-Inn Odate Eki Minami",Hotel Route-Inn Odate Eki Minami,,,,,,6449.0
1702,704708,"横滨关内舒适酒店
Comfort Hotel Yokohama Kannai",Comfort Hotel Yokohama Kannai,4.4,4.2,4.3,4.3,4.3,7310.0
1703,704709,"京都浮舟园花园酒店
Hanayashiki Ukifune-en Kyoto",Hanayashiki Ukifune-en Kyoto,4.6,4.6,4.5,4.6,4.6,24615.0
1704,704710,"横滨鹤见站东口东横酒店
Toyoko Inn Yokohama Tsurumi-Eki Higashi-Guchi",Toyoko Inn Yokohama Tsurumi-Eki Higashi-Guchi,4.3,4.3,4.7,4.7,4.5,7344.0
1705,704711,"皇冠宫数壶库酒店
Hotel Crown Palais Shuhoku",Hotel Crown Palais Shuhoku,2.3,5.0,5.0,4.2,4.1,4592.0
1706,704713,"箱根雷索皮亚酒店
Resorpia Hakone",Resorpia Hakone,4.2,4.4,4.3,4.2,4.3,24130.0
1707,704719,"箱根初花酒店
Hotel Hatsuhana Hakone",Hotel Hatsuhana Hakone,4.4,4.7,4.5,4.7,4.6,36688.0
1708,704721,"东横酒店横滨港未来中山日本大通站前
Toyoko Inn Yokohama Minatomirai-Sen Nihon-Odori Ekimae",Toyoko Inn Yokohama Minatomirai-Sen Nihon-Odori Ekimae,4.5,4.2,3.8,4.2,4.2,
1709,704724,"东横京森桥本駅北口旅馆
Toyoko Inn Keio-Sen Hashimoto-Eki Kita-Guchi",Toyoko Inn Keio-Sen Hashimoto-Eki Kita-Guchi,4.9,4.8,4.7,4.7,4.8,7128.0
1710,704726,"横滨森渊野边站南口东横旅馆
Toyoko Inn Yokohama-Sen Fuchinobe-Eki Minami-Guchi",Toyoko Inn Yokohama-Sen Fuchinobe-Eki Minami-Guchi,4.0,4.1,4.0,4.1,4.1,7830.0
1711,704727,"大和ROYNET八户市酒店
Daiwa Roynet Hotel Hachinohe Aomori",Daiwa Roynet Hotel Hachinohe Aomori,4.4,4.4,4.3,4.4,4.3,6871.0
1712,704728,"湘南平冢北口1号东横酒店
Toyoko Inn Shonan Hiratsuka-Eki Kita-Guchi No.1",Toyoko Inn Shonan Hiratsuka-Eki Kita-Guchi No.1,5.0,4.2,4.0,4.4,4.4,7128.0
1713,704731,"长泉二号路线酒店
Hotel Route-Inn Nagaizumi Numazu Inter 2",Hotel Route-Inn Nagaizumi Numazu Inter 2,3.8,4.0,3.2,4.0,3.7,11675.0
1714,704735,"东横旅店-湘南茅崎站北口
Toyoko Inn Shonan Chigasaki-Eki Kita-Guchi",Toyoko Inn Shonan Chigasaki-Eki Kita-Guchi,5.0,5.0,5.0,5.0,5.0,
1715,704737,"青森皇冠宫酒店
Hotel Crown Palais Aomori",Hotel Crown Palais Aomori,3.9,4.1,4.1,4.0,4.0,6433.0
1716,704742,"新宿商务酒店
Business Hotel Shinjuku",Business Hotel Shinjuku,4.2,4.2,4.2,4.2,4.2,8573.0
1717,704743,"青森弘前多米酒店
Hotel Dormy Inn Hirosaki",Hotel Dormy Inn Hirosaki,4.3,4.8,4.7,4.6,4.6,7293.0
1718,704747,"弘前太子酒店
Hirosaki Prince Hotel",Hirosaki Prince Hotel,3.2,3.5,3.3,3.5,3.4,
1719,704750,"弘前城东路线酒店
Hotel Route-Inn Hirosaki Joto",Hotel Route-Inn Hirosaki Joto,,,,,,9703.0
1720,704753,"青森伊吕波旅馆
Iroha Ryokan Aomori",Iroha Ryokan Aomori,4.4,4.4,4.4,4.4,4.4,5753.0
1721,704755,"桥立湾酒店
Hashidate Bay Hotel",Hashidate Bay Hotel,4.4,4.2,4.3,4.1,4.3,7968.0
1722,704758,"京都兰威特酒店
Aranvert Hotel Kyoto",Aranvert Hotel Kyoto,4.7,4.7,4.6,4.8,4.7,5892.0
1723,704765,"箱根强罗天翠酒店
Gora Tensui Hakone",Gora Tensui Hakone,4.1,4.2,4.1,4.4,4.2,29140.0
1724,704766,"熊谷马罗德酒店
Marroad Inn Kumagaya",Marroad Inn Kumagaya,3.4,3.4,3.3,3.5,3.4,4474.0
1725,704767,"东京筑波特快八潮站北口旅馆
Toyoko Inn Tsukuba Express Yashio-Eki Kita-Guchi",Toyoko Inn Tsukuba Express Yashio-Eki Kita-Guchi,3.8,3.8,3.8,3.8,3.8,8748.0
1726,704768,"三乡站前东横酒店
Toyoko Inn Misato Ekimae",Toyoko Inn Misato Ekimae,5.0,5.0,5.0,5.0,5.0,7344.0
1727,704769,"陆奥公园酒店
Mutsu Park Hotel",Mutsu Park Hotel,,,,,,10467.0
1728,704770,"草加车站西出口东横酒店
Toyoko Inn Souka-Eki Nishi-Guchi",Toyoko Inn Souka-Eki Nishi-Guchi,4.4,4.4,4.1,4.5,4.3,
1729,704771,"青森石场日式旅馆
Ishiba Ryokan Aomori",Ishiba Ryokan Aomori,4.4,4.3,4.1,4.3,4.3,9762.0
1730,704773,"保田日落微风酒店
Sunset Breeze Hota",Sunset Breeze Hota,,,,,,
1731,704774,"千叶苏我多米酒店
Hotel Dormy Inn Soga",Hotel Dormy Inn Soga,4.7,3.8,3.6,3.8,4.0,7715.0
1732,704775,"东横埼玉县户田公园站西口酒店
Toyoko Inn Saitama Toda Koen-Eki Nishi-Guchi",Toyoko Inn Saitama Toda Koen-Eki Nishi-Guchi,4.6,4.6,4.6,4.9,4.7,6804.0
1733,704776,"GrandPark帕奈克斯酒店-千叶
Grand Park Hotel Panex Chiba",Grand Park Hotel Panex Chiba,3.3,3.3,3.3,3.1,3.2,4995.0
1734,704777,"光市站前东横酒店
Toyoko Inn Wako-Shi Ekimae",Toyoko Inn Wako-Shi Ekimae,5.0,5.0,5.0,5.0,5.0,
1735,704778,"柏波峰酒店
Crest Hotel Kashiwa",Crest Hotel Kashiwa,4.1,4.2,4.2,4.2,4.2,7040.0
1736,704781,"千叶柏市索特图斯弗雷撒酒店
Sotetsu Fresa Inn Chiba-Kashiwa",Sotetsu Fresa Inn Chiba-Kashiwa,4.6,4.6,4.5,4.6,4.6,6567.0
1737,704786,"安祖尔成田国际旅馆
International Guesthouse Azure Narita",International Guesthouse Azure Narita,2.8,2.6,2.8,3.0,2.8,5081.0
1738,704787,"涩川福一酒店
Fukuichi Shibukawa",Fukuichi Shibukawa,,,,,,18048.0
1739,704788,"成​​田赫迪斯达酒店
The Hedistar Hotel Narita",The Hedistar Hotel Narita,4.4,4.4,3.7,4.4,4.2,5672.0
1740,704789,"成田中心大酒店
Center Hotel Narita",Center Hotel Narita,3.8,4.1,4.0,4.0,4.0,13595.0
1741,704791,"会津若松华盛顿酒店
Aizuwakamatsu Washington Hotel",Aizuwakamatsu Washington Hotel,4.4,4.4,4.4,4.4,4.4,6601.0
1742,704793,"福岛郡山多米快捷酒店
Hotel Dormy Inn Express Koriyama",Hotel Dormy Inn Express Koriyama,4.4,4.3,4.7,4.2,4.4,7468.0
1743,704797,"伊瓦基泉站前路线酒店
Hotel Route-Inn Iwakiizumi Ekimae",Hotel Route-Inn Iwakiizumi Ekimae,3.9,3.9,3.9,3.9,3.9,8949.0
1744,704798,"美图海韵酒店
Hotel Sealuck Pal Mito",Hotel Sealuck Pal Mito,4.3,5.0,4.8,4.8,4.7,5267.0
1745,704800,"盛冈爱斯酒店
Hotel Ace Morioka",Hotel Ace Morioka,4.5,4.5,3.8,4.3,4.3,8040.0
1746,704803,"盛冈菜园简约酒店
Hotel Simplicity Morioka Saien",Hotel Simplicity Morioka Saien,,,,,,28840.0
1747,704804,"盛冈市珍珠酒店
Hotel Pearl City Morioka",Hotel Pearl City Morioka,4.0,4.0,4.0,3.9,4.0,5031.0
1748,704806,"安比格兰德3号别墅酒店
Appi Grand Villa 3",Appi Grand Villa 3,,,,,,17701.0
1749,704812,"宫城绿色精选酒店
Hotel Green Selec Miyagi",Hotel Green Selec Miyagi,3.2,3.2,3.2,3.2,3.2,4524.0
1750,704814,"仙台市青叶通方舟酒店
Ark Hotel Sendai Aoba Dori",Ark Hotel Sendai Aoba Dori,4.5,4.6,4.5,4.8,4.6,5368.0
1751,704815,"仙台花园皇宫酒店
Sendai Garden Palace",Sendai Garden Palace,,,,,,8481.0
1752,704842,"京都富豪酒店
Kyoto Rich Hotel",Kyoto Rich Hotel,4.6,4.4,4.2,4.5,4.4,8188.0
1753,704844,"京都萨撒里都酒店
Hotel in Kyoto Sasarindou",Hotel in Kyoto Sasarindou,4.8,4.6,4.4,4.7,4.6,11250.0
1754,704846,"京都法华俱乐部酒店
Hotel Hokke Club Kyoto",Hotel Hokke Club Kyoto,4.9,4.7,4.5,4.7,4.7,12105.0
1755,704847,"祗园吉酒店
Gion Yoshiima",Gion Yoshiima,4.7,4.7,4.4,4.6,4.6,33036.0
1756,704848,"京都府城边旅馆
Kyoto Ryokan ""The KINOE"" 

又名：京都府城边旅馆(Kyoto Ryokan ""The KINOE"")","Kyoto Ryokan ""The KINOE"" ",4.6,4.4,4.4,4.6,4.5,25674.0
1757,704850,"岸权旅馆
Kishigon Ryokan",Kishigon Ryokan,4.5,4.6,4.3,4.6,4.5,18250.0
1758,704851,"祇园畑中
Gion Hatanaka Kyoto",Gion Hatanaka Kyoto,4.8,4.7,4.6,4.8,4.7,44850.0
1759,704852,"高崎​​站西口2号东横旅馆
Toyoko Inn Takasaki-Eki Nishi-Guchi No.2",Toyoko Inn Takasaki-Eki Nishi-Guchi No.2,,,,,,6804.0
1760,704853,"东横高崎​​駅西口1号酒店
Toyoko Inn Takasaki-Eki Nishi-Guchi No.1",Toyoko Inn Takasaki-Eki Nishi-Guchi No.1,,,,,,
1761,704854,"京都祗园新门庄酒店
Gion Shinmonso Kyoto",Gion Shinmonso Kyoto,4.5,4.4,4.0,4.2,4.3,15034.0
1762,704856,"高崎大都会酒店
Hotel Metropolitan Takasaki",Hotel Metropolitan Takasaki,4.3,4.3,4.3,4.3,4.3,8357.0
1763,704857,"道后馆酒店
Dogo Kan",Dogo Kan,4.5,4.3,3.4,4.5,4.2,19133.0
1764,704859,"道后王子酒店
Dogo Prince Hotel",Dogo Prince Hotel,4.5,4.5,4.5,4.5,4.5,24683.0
1765,704860,"三井花园饭店京都三条
Mitsui Garden Hotel Kyoto Sanjo",Mitsui Garden Hotel Kyoto Sanjo,4.7,4.8,4.5,4.8,4.7,8787.0
1766,704861,"松山市一番町东横酒店
Toyoko Inn Matsuyama Ichiban-Cho",Toyoko Inn Matsuyama Ichiban-Cho,4.3,4.3,4.3,4.3,4.3,7884.0
1767,704862,"京都村喷泉别墅酒店
Hotel Villa Fontaine Village Kyoto",Hotel Villa Fontaine Village Kyoto,4.4,4.0,4.2,4.2,4.2,8576.0
1768,704863,"道后温泉酒店-古涌园酒店
Dogo Onsen Hotel Kowakuen",Dogo Onsen Hotel Kowakuen,4.6,4.6,4.5,4.6,4.6,10703.0
1769,704864,"京都哈顿酒店
Hearton Hotel Kyoto",Hearton Hotel Kyoto,4.6,4.6,4.4,4.7,4.6,7209.0
1770,704865,"长崎天空酒店
Nagasaki Sky Hotel",Nagasaki Sky Hotel,,,,,,10045.0
1771,704866,"京都馨乐庭乌丸五条酒店
Citadines Kyoto Karasuma-Gojo Kyoto",Citadines Kyoto Karasuma-Gojo Kyoto,4.5,4.7,4.4,4.7,4.6,15436.0
1772,704868,"长崎站前东横酒店
Toyoko Inn Nagasaki Ekimae",Toyoko Inn Nagasaki Ekimae,4.3,4.3,4.3,4.6,4.4,9504.0
1773,704869,"京都银门酒店
Hotel Gimmond Kyoto",Hotel Gimmond Kyoto,4.4,4.3,3.8,4.1,4.1,6668.0
1774,704870,"佐世保站前东横酒店
Toyoko Inn Sasebo Ekimae",Toyoko Inn Sasebo Ekimae,4.9,4.8,4.7,4.8,4.8,
1775,704872,"京都国际酒店
Kyoto Kokusai Hotel",Kyoto Kokusai Hotel,4.3,4.4,4.3,4.4,4.3,
1776,704873,"日航豪斯登堡酒店
Hotel Nikko Huis Ten Bosch",Hotel Nikko Huis Ten Bosch,4.5,4.5,4.4,4.5,4.5,16813.0
1777,704875,"京都日航公主酒店
Hotel Nikko Princess Kyoto",Hotel Nikko Princess Kyoto,4.6,4.7,4.5,4.8,4.6,16174.0
1778,704878,"鹿儿岛太阳皇家酒店
Kagoshima Sun Royal Hotel",Kagoshima Sun Royal Hotel,3.9,4.4,4.3,4.2,4.2,11700.0
